"dim1","dim2","dim3","dim4","dim5","dim6","dim7","dim8","dim9","dim10"
"-0.0302402646793","0.000136380000954","0.00246973627538","0.00455800554869","0.00093851550129","0.00123576932942","0.991072118624","-0.129704101945","0.00300235999687","0.000335116151544"
"0.998810805952","0.0140433201436","0.000578847767665","-0.0219510912363","0.0201722370285","-0.0189273859806","0.0301112249854","-0.00364659169442","-0.0034018116648","0.000923412667117"
"0.0294459564871","0.0201092945192","0.148060390265","0.690593525552","-0.684867925002","0.0338746285091","-0.00309195578556","-0.00599275668328","0.0697860224985","0.157417050562"
"0.00499610825762","0.00697926624655","0.0223595920945","0.106095835374","-0.133865866419","0.0319244223223","0.0057146030703","0.0346700772872","-0.388461795181","-0.90393228447"
"0.00763331457979","-0.248035009451","-0.906168752686","0.318123061109","0.11407167135","-0.0502892784528","0.0015552916457","0.00360651121104","-0.0224095195031","0.00416005888025"
"0.00382395484659","-0.0431292785653","0.230566170746","0.484545247781","0.538772331648","0.0628236678267","-0.00384061946416","0.00852700025549","0.586908090712","-0.26722533719"
"-0.00212612201007","-0.035086624146","0.225168602859","0.402842105068","0.449493444757","0.0197055958575","-0.00473502125292","-0.029440308991","-0.706323568642","0.289079476711"
"-0.0157056764201","0.954614836471","-0.203021368203","0.109524089879","0.085083381026","-0.162920862286","0.0044924601738","0.0379902167076","-0.00200600397692","-0.000889717057934"
"-0.000285081970124","0.0356500320468","-0.0156691762684","-0.00324947894613","-0.00581328448821","-0.0110335562745","-0.129484783561","-0.989697219091","0.0115769056334","-0.0437773766873"
"0.0156944191926","0.148918400824","-0.105380589447","-0.0323636248159","0.00476977106217","0.981806745612","-0.00103530124647","-0.00541575697597","-0.0145750587314","0.0348489770779"
