W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),PTS_TYPE,CLOSE_DEF_DIST(ft)
W,8,10,2,17,0,1.1,22.8,3,6.7
W,10,4,1,19.7,0,0.5,1.6,2,2.8
W,16,9,4,9.7,3,3,8.3,2,2.4
W,19,2,4,9.7,2,2.5,5.9,2,2.2
L,-21,4,3,9.5,3,4.2,7.5,2,2.5
L,-3,8,3,0,0,0.8,3,2,2.5
W,5,5,3,10.9,1,1.2,2.2,2,2.2
W,13,6,2,16.3,1,3.6,7.8,2,3
W,13,5,3,14.8,0,0.7,22.4,3,5.9
L,-14,14,3,13.7,0,1.1,23.2,3,7.1
L,-9,4,2,12.6,13,10.6,20.9,2,3.8
L,-7,2,1,10,3,3.3,13.6,2,5.7
W,4,6,2,16.3,2,4,5.2,2,2.4
W,14,3,2,13.6,0,1,18.6,2,10.4
W,11,3,4,18.4,8,5.1,1.3,2,2
W,53,2,2,7.6,3,2.3,12.6,2,5.6
W,11,16,4,17.6,0,0.9,24.9,3,6.1
W,15,8,3,12.6,5,4.2,21.6,2,5.5
W,5,6,2,12.3,2,2.2,5.2,2,2.8
L,-13,5,3,14.9,0,0.8,25,3,5.7
L,-12,1,4,17.9,0,0.9,24.9,3,4.4
W,53,2,4,16.3,0,0.9,24.8,3,7.4
W,34,2,1,11.6,0,0.9,24.8,3,4.3
W,5,11,4,8.8,0,0.7,23,3,7
L,-3,3,2,15,0,0.9,19.1,2,6
W,5,3,1,16.1,7,6.9,8.5,2,2.1
W,5,7,2,6.7,0,1.2,26.4,3,2.9
W,4,8,3,6.3,1,6.2,14.9,2,3.3
L,-3,8,3,11.5,2,2.7,4.6,2,1.7
L,-3,16,4,12.9,0,0.6,24.1,3,1.4
W,18,9,3,5.3,0,0.8,11.5,2,7.9
L,-7,2,1,17,0,0.7,4.5,2,3.1
L,-7,1,1,17.4,1,1.5,24.5,3,8.3
L,-10,12,4,7.4,2,2.7,11.5,2,4.3
L,-24,3,1,7.2,2,5.2,6.6,2,1.8
L,-28,3,1,6.3,0,0.8,6.1,2,2.7
L,-3,4,3,6.4,0,0.8,19.8,3,2.1
W,2,10,4,5.9,0,1,6,2,1.4
L,-5,11,3,3.9,0,0.8,24.6,3,4.6
L,-7,5,2,8.8,6,5.8,3.4,2,1
L,-15,1,1,9.7,0,0.8,23.1,3,5.5
L,-17,1,1,12.7,4,3.7,8.3,2,3.1
L,-3,6,3,16.1,11,8,18.8,2,6.2
L,-15,6,3,15.1,9,7.6,18.4,2,3.7
L,-3,5,3,19.2,3,2.9,4.4,2,1.1
L,-6,3,2,4.5,2,5,11.3,2,4.8
L,-15,11,3,14.7,0,0.8,4.6,2,1.8
W,14,7,2,10.3,3,3.8,6.9,2,3
L,-13,11,4,9.6,1,1.8,6.2,2,1.3
L,-17,6,3,8,8,6.4,9.6,2,1.8
L,-19,2,3,19,0,0.8,24.4,3,8.7
W,38,15,3,2.7,2,5,4.1,2,0.6
L,-15,13,3,14.7,9,9.4,2.6,2,0.5
L,-4,6,1,8.8,6,4.1,10,2,1.7
L,-12,14,3,10,0,1,25.7,3,2.1
W,14,8,3,7.8,1,2.2,5.6,2,2.9
L,-9,12,3,12,12,10.8,14.1,2,4.6
W,11,1,1,21.1,1,1.2,8.8,2,3.5
W,3,10,4,10.9,0,0.8,22.6,3,4.4
W,11,2,1,19.2,4,3.9,7.3,2,5.5
W,8,24,4,6.3,17,15.9,4.8,2,3.4
W,39,13,3,11.9,0,1.8,26.7,3,2.5
W,39,15,3,13,0,1,4.2,2,0.7
W,6,8,1,17.5,5,6.9,20.8,2,11.5
W,6,11,2,15.7,4,8,2.8,2,1.9
W,13,2,3,0,0,0.7,1.5,2,0.1
W,5,4,1,1,0,1.9,1.7,2,0.4
W,5,6,4,24,0,1.3,0.9,2,0
W,39,6,3,12.4,3,6.1,13.5,2,4.5
L,-29,8,3,14.2,0,0.8,24.3,3,5
W,13,1,2,12.8,0,0.8,22.8,3,8.9
L,-18,3,3,19.3,0,1.3,25.3,3,4.2
W,23,2,2,4,0,0.7,3.3,2,5.1
