W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),PTS_TYPE,CLOSE_DEF_DIST(ft)
L,-25,5,2,4.2,0,0,0.5,2,1.8
L,-11,5,1,10.2,2,4.5,2,2,1.5
L,-14,1,1,9.3,0,0.7,24.6,3,9.6
L,-9,4,1,6.6,0,0.4,9.8,2,2.6
L,-6,5,3,13.8,0,1.4,9.5,2,3.2
W,2,14,3,12.1,1,2.5,10.6,2,3.1
L,-7,3,1,11.8,1,3.5,8.2,2,1
W,6,4,3,7,2,5.2,5.2,2,1.2
L,-16,7,2,16.8,0,0.8,25.4,3,3.8
L,-4,4,3,11.4,0,0.7,25.2,3,5.1
W,16,6,3,14.2,0,0.7,8.9,2,2
L,-5,4,2,14.6,1,1.6,9.2,2,4.5
L,-39,7,3,14.7,1,1.4,24.2,3,4.1
W,8,2,1,0,3,3,20.4,2,2.5
W,6,3,3,16.9,0,1.1,24.2,3,5.7
L,-25,4,1,6.9,0,0.8,18.9,2,3.9
L,-6,12,4,8.5,0,0.9,25.6,3,3.1
L,-16,9,2,18.8,0,0.9,26.3,3,5.9
L,-16,16,4,4,8,9.2,19,2,3.2
L,-8,13,4,5.9,3,5.4,7.4,2,1.5
W,8,1,1,10.3,5,3.2,13,2,3.5
L,-16,11,3,19.1,2,2.4,8.8,2,1.9
L,-5,9,1,0,1,1.3,33.1,3,5
W,6,4,1,5.5,18,18.8,7.2,2,1.6
L,-25,1,1,0,1,1.2,39.2,3,2.6
W,5,6,2,13.8,0,0.4,3.1,2,5.1
L,-9,9,2,7.2,0,0.6,5.6,2,3.2
L,-2,4,1,13.6,0,0.9,3.6,2,2.1
L,-15,9,4,14.4,1,2.6,4.1,2,2.9
L,-39,3,1,11.9,2,3.4,6.4,2,2.9
W,2,7,2,20.2,1,1.3,0.4,2,4
L,-4,4,1,7.8,4,3.7,1.1,2,2.6
W,28,5,2,5.6,3,2.6,4.6,2,1.9
L,-7,1,1,14.7,10,9.8,4.8,2,2.8
L,-5,3,2,0,26,21.5,5.5,2,2.2
L,-2,2,1,9.4,4,5.1,20.1,2,7.7
W,9,6,2,24,0,0.5,2.9,2,4
L,-25,3,1,12.1,12,12,3.1,2,2.4
L,-19,7,3,18.7,5,4.4,14.7,2,6.1
L,-18,7,4,18.4,1,3.6,4.1,2,2.1
W,27,9,3,11,0,0.8,24.8,3,4.5
L,-10,2,1,13.5,2,4.5,4.2,2,1.7
W,2,3,1,14,0,0.8,15.7,2,10.4
W,4,3,1,5.8,6,9.6,7.2,2,1.7
L,-5,6,2,12.5,0,1,17.8,2,4.3
W,4,4,2,1.2,1,2.1,25.3,3,5.5
L,-3,6,4,6.4,4,4.1,26.3,3,4.4
W,17,18,4,7.7,0,0.8,23.6,3,7.1
L,-23,10,3,10.8,0,0.8,22.6,3,1.1
L,-5,5,4,2,0,0.2,1.7,2,0.7
L,-13,3,2,17.1,0,0.7,2.3,2,3.5
L,-6,11,4,10,0,2.3,6.5,2,4.2
W,2,11,4,0,0,1.1,4.7,2,1.3
W,7,13,3,19.7,0,0.4,3.2,2,3.3
L,-34,1,1,12.3,0,2.7,17.6,2,4.4
W,8,2,1,0,2,2.4,4,2,1.4
L,-3,13,4,11.5,0,2.1,24.7,3,4.6
L,-4,3,2,5.1,1,2,25.2,3,4.5
L,-1,16,4,8.8,3,7.5,7.1,2,1.6
L,-6,34,4,7.1,15,13.9,18.2,2,3.1
W,5,3,2,7.4,0,0.7,4.7,2,2.6
L,-7,4,2,15.6,0,0.9,2.2,2,1.5
W,8,1,1,5.5,0,1.1,22.1,3,11.1
L,-9,5,1,7.3,4,4.4,10.8,2,3.8
W,15,7,2,7.1,0,0.9,19.9,2,6.3
L,-2,4,2,15,0,0.8,25.9,3,6.6
W,7,2,1,16.1,9,7.8,25.5,3,5.7
L,-12,13,4,15.8,10,7.3,1.7,2,1.9
W,19,12,3,17.2,4,4,14,2,2.3
L,-2,5,1,20,0,0.9,4.6,2,3
W,15,1,1,17.2,1,1.7,4,2,1.8
L,-10,3,1,11,4,3.5,18.7,2,4.4
W,7,10,2,15.5,0,0.7,22.6,3,4.4
W,23,15,4,10,1,4.3,12.8,2,2.8
W,15,5,2,8,0,2.8,19.9,2,4.3
W,21,4,1,9.1,2,2,19.8,2,6.1
W,18,4,2,9.4,0,0.6,4.3,2,8.5
L,-10,3,4,24,0,0.8,1,2,1.2
W,11,5,3,5,0,1,24.7,3,9.3
W,26,6,3,3.1,0,2.2,24.9,3,1.7
L,-7,8,4,17.3,6,4.8,24.3,3,4.9
W,13,2,1,15.4,0,0.1,3.1,2,2.7
W,5,14,4,23.4,0,1.2,2,2,2.7
W,5,12,3,15.4,2,1.9,3,2,4.3
L,-30,5,2,24,1,4,3.7,2,2.8
W,21,3,3,6.2,4,4.7,1.8,2,0.9
W,9,8,4,17,6,5.2,1.4,2,0.8
L,-3,3,3,0,4,3.8,4.1,2,2.9
W,8,12,3,11.6,1,4,4.3,2,0.5
W,8,3,1,12.1,0,0.6,7.2,2,5.3
L,-11,5,2,5.5,0,0.7,26.8,3,5.9
W,31,12,4,16.9,8,7.5,6.3,2,2.1
W,8,16,4,8,21,16,4.8,2,2.5
W,10,9,4,8,1,5,24.2,3,6.2
L,-7,11,4,18.5,7,5.1,3.7,2,4.3
L,-7,12,4,18,5,4,3.7,2,3.3
W,3,6,2,13.8,0,0.6,1.8,2,4.8
W,12,10,3,16.6,0,0.8,2.4,2,8.4
W,11,1,1,12,0,0.8,1.7,2,0.9
W,3,11,3,5,3,7.8,7.6,2,2
W,11,1,1,14.6,1,1.9,9.7,2,3.7
L,-12,8,2,16,0,0.7,2.7,2,1.7
L,-27,3,4,18.1,0,1,25.6,3,6.9
W,9,3,2,4.6,0,0.8,19.5,2,5.4
L,-9,2,2,12.6,1,3,15,2,4.7
W,11,8,3,16.9,1,1.6,18.7,2,6.3
W,9,5,4,6,3,6.5,9,2,2.1
W,8,1,2,12.2,1,0.8,16.7,2,8.7
L,-9,3,2,18.7,0,0.6,3.3,2,1.7
L,-27,5,4,14.3,0,0,0.8,2,3.5
L,-26,5,3,9.4,2,5.2,14.3,2,3.2
L,-31,2,2,10.3,2,2,14.6,2,1.5
L,-26,2,1,12,0,0.7,22.5,3,3.5
L,-20,3,1,18,0,0.8,4.4,2,1
W,35,4,1,14,8,8.6,13.3,2,5
W,8,9,3,14.6,8,7.6,6,2,0.7
W,16,11,3,8.1,3,3.5,10.4,2,3.6
W,11,11,3,7.4,15,14.3,17.1,2,7.1
W,9,2,1,12.4,0,1,0.4,2,2.8
W,17,3,1,11.5,0,0.6,0.8,2,2.6
W,15,10,4,3.3,0,1,26.9,3,5.1
W,5,14,4,8.5,1,2.9,22.9,3,3.7
W,14,3,2,9,9,10,21.5,2,5.3
W,8,6,2,7.7,3,3.4,3.3,2,0.9
L,-4,18,4,12.9,0,0.9,16,2,5.2
W,2,11,2,12.1,0,0.6,6.4,2,4
W,17,17,3,15.2,1,2.1,0.9,2,1.3
L,-9,9,3,6,0,1,18.5,2,6.6
L,-7,7,4,12.7,1,1.6,4.6,2,1.8
W,7,3,4,2.8,1,1.9,10.6,2,2
W,17,9,3,12.3,14,11.9,17.7,2,2.8
L,-9,8,2,0,0,0.5,2.9,2,3.5
W,5,18,5,8.5,3,2.9,19,2,5.8
L,-5,1,1,8.3,2,5.8,5.4,2,2.4
L,-21,7,3,12.5,0,0.5,1.9,2,3.8
W,14,6,3,19.8,0,0,2.2,2,5.4
W,10,11,3,12.3,0,1,24.1,3,3.1
L,-7,7,4,8,2,1.9,17.5,2,4.9
W,4,7,3,11.2,0,0.6,7,2,3.3
W,11,9,4,12.7,0,0.6,24.6,3,3.4
L,-3,8,2,0,5,4.9,11,2,4.4
W,14,13,4,3.3,0,1,22.5,2,5.1
L,-16,1,1,3.4,4,6,6.2,2,3.2
L,-9,3,2,14,11,10.4,3.3,2,2.8
W,5,7,3,9,3,4.3,6.1,2,2
W,5,4,1,12,0,0.8,24.1,3,5.5
W,6,15,3,8.3,3,3.5,23.9,3,4.1
L,-19,15,4,16.8,7,7.5,20,2,7.2
W,4,16,4,12.2,12,11.7,5,2,2.7
W,19,14,3,21.3,0,0.8,5.6,2,2.4
W,11,14,3,17.6,6,5.8,18,2,2.8
W,20,4,2,14.2,10,9.5,9.4,2,2.5
W,5,4,1,9.5,0,1.5,24.3,3,11.1
W,21,8,4,2,4,6.5,25,3,4
W,10,14,4,11.9,0,0.9,22.3,3,3.7
W,15,4,2,5.3,0,0.9,24.6,3,5.3
W,18,1,2,18.8,5,5.4,25.2,3,5.4
W,15,2,1,15.4,0,1,2.6,2,1.8
W,5,1,1,10.8,2,3.4,11.3,2,2
W,6,4,2,19.7,0,0.6,1.8,2,5.9
L,-10,1,1,19.3,0,1.1,2.9,2,2.4
W,4,7,3,16.4,1,1.7,5.8,2,3.2
W,11,7,1,20,5,4.6,5.8,2,2
W,8,18,4,6.1,0,0.9,24.5,3,4.2
W,8,2,2,0,1,1.7,28,3,4.5
W,8,2,1,19.5,0,0.8,4.1,2,4.5
L,-4,7,2,17.6,9,6.8,10.8,2,4.2
L,-9,1,1,12.8,4,3.8,4.4,2,2.1
W,9,4,4,10.2,0,0.7,3.5,2,4.8
L,-7,7,2,20.3,5,4.2,1.3,2,1.7
W,11,17,4,20.9,2,2.2,3.8,2,9.3
L,-2,10,4,13.4,4,4.2,2.6,2,4.6
L,-32,7,4,2.2,0,1.5,24.4,3,0
W,9,1,1,8.1,0,0.8,9.8,2,5.7
L,-10,17,3,12.2,0,0.7,16.1,2,6.4
L,-15,5,1,15.7,0,0,2.1,2,0.2
L,-2,4,4,6.4,0,1.5,24.3,3,3.4
L,-8,4,1,12.1,5,4.1,1.8,2,1.4
W,21,5,2,20.1,0,0.8,3.5,2,5.4
W,14,13,4,9.5,17,14.1,12.6,2,3.3
W,14,5,3,13.4,12,9.9,3.1,2,2.5
W,11,15,4,21,2,4,1.4,2,3.9
L,-16,3,1,14.4,0,1.4,3.4,2,1.3
W,26,1,2,2.2,0,1,16.3,2,5.5
W,32,5,2,22.7,1,1.2,3.9,2,9.4
W,9,3,1,7,0,0.8,3.2,2,2.9
L,-17,8,3,14.3,1,1.6,6,2,2
L,-9,8,2,24,0,0.6,0.8,2,3.8
L,-19,1,2,14,0,1,24.3,3,5.4
W,3,9,4,9.8,0,0.6,8,2,4
L,-12,2,1,23.7,0,1.5,1,2,3
L,-5,3,2,11.5,1,1.4,6.8,2,1.5
W,25,7,4,20.2,0,0.6,2.5,2,6
W,15,4,1,16.1,1,1.4,4.3,2,1.2
W,9,10,3,14.5,0,0.4,1.5,2,2.9
L,-10,1,1,0,1,1.4,3.9,2,4
L,-2,3,3,10.1,0,0.8,22.5,3,6.5
L,-12,2,1,17.2,1,1.3,24.3,3,6
W,7,6,3,18.8,0,0.7,26.5,3,10
W,4,10,4,11,0,1,19,2,7.9
W,5,1,1,8.9,0,1,8.5,2,3.2
W,5,10,4,24,0,1.1,0.3,2,3.3
W,21,8,3,10.2,0,1.2,17.7,2,5.6
L,-7,4,3,8.6,0,0.8,19.7,2,9.3
W,6,7,3,11,0,1.1,0.8,2,1.1
W,7,12,3,11.6,1,2.3,20.4,2,4.8
L,-2,10,3,23.8,0,0.7,2.3,2,1.1
W,5,1,1,16.3,1,0.6,1.5,2,5.2
W,16,2,1,22,1,2.2,1.7,2,4.3
L,-17,3,2,14.3,0,0.8,20.6,2,4.8
W,16,6,2,11.7,1,1.2,6.5,2,1.9
L,-16,3,1,20.8,2,2.5,3.1,2,2.4
L,-7,17,5,24,0,0,3.3,2,1.5
W,18,5,3,4,17,15.7,16.4,2,4.7
L,-3,7,2,9.1,0,1,7.7,2,4.5
L,-16,3,1,10.4,0,1.2,5,2,2.7
W,3,9,3,13,0,1.7,6.6,2,2.7
L,-9,4,1,21.3,0,1.1,5.8,2,2.1
W,7,6,3,10.6,0,2.1,16.6,2,5.2
L,-1,10,4,23.7,0,1.4,7.7,2,5.3
W,17,7,2,15,0,0.6,23.2,3,8
W,6,2,1,16.1,1,2.7,10.2,2,2.6
W,13,8,2,7.2,0,1.7,4.5,2,1.4
W,9,8,4,2.6,2,2.2,0.9,2,0.8
L,-3,1,1,9,0,1,26.1,3,6.6
L,-17,4,3,18,1,2.5,24.6,3,16
W,14,3,2,19.2,0,0.8,24.2,3,6.2
W,9,9,4,6.8,3,3.5,1.4,2,1.2
W,6,8,4,6,0,0.9,22.2,3,7.1
W,25,9,4,15.5,0,1.1,24.3,3,7.9
W,6,2,2,12.4,0,0.6,0.5,2,4.8
W,2,4,3,23.8,0,1.2,1.3,2,4.5
W,9,2,1,14.7,2,2.5,3.9,2,2
W,4,10,4,18.5,4,3.5,6.2,2,2.9
W,3,2,4,21.2,1,0.9,5.2,2,7.6
L,-10,10,2,17.6,4,5.5,2.8,2,2
L,-2,7,3,15.5,0,1.1,26.7,3,8.2
L,-8,8,3,6.7,2,5.8,6.4,2,2.2
L,-8,8,2,18.6,0,1.1,25.7,3,5.2
W,3,5,4,12.5,0,0.8,25.5,3,5.5
L,-30,3,2,11.4,3,3.6,0.9,2,0.7
W,7,8,3,20.4,3,3.6,12.5,2,3.6
W,9,2,1,21,3,2.3,21.3,2,5.2
L,-22,4,2,23,1,2,2.5,2,7.6
L,-4,6,3,24,1,0.3,1,2,3.2
W,39,3,2,15.5,0,0.8,3.7,2,2.4
L,-12,2,2,14,1,3,3.5,2,3.6
L,-8,6,1,18.2,2,2.4,17.7,2,4.4
L,-8,3,2,18.5,0,1.1,7,2,3.8
L,-5,7,4,24,0,0,4.5,2,2.3
W,9,5,4,6.1,0,0.8,26.7,3,5
W,16,2,1,14.6,10,8.5,0.6,2,2.3
W,12,2,1,21.3,0,1.3,24.3,3,6.5
L,-25,8,2,20.9,0,0.8,3.4,2,3.3
W,4,15,4,13,0,0.8,1.1,2,2.5
L,-13,7,1,21.5,1,1.4,4,2,10.6
L,-5,6,2,5.8,11,9.4,2.4,2,2.4
W,7,6,4,16.6,1,2,24.5,3,3.8
W,2,7,3,19.7,0,1.1,3.2,2,2.1
W,5,7,1,10.5,3,2.5,4.1,2,3.8
W,26,3,2,9.6,10,11.1,25,3,6.2
W,5,2,1,14.2,0,0.7,12.5,2,5.1
L,-2,11,4,10.1,0,0.1,3.7,2,3.5
W,9,14,3,16.2,0,0.7,13.1,2,5.8
W,5,6,2,5.2,4,4.7,7.7,2,2.5
W,17,14,3,17.6,2,1.7,1.7,2,1.9
W,8,15,4,11.1,0,1.1,25.6,3,5
W,8,7,2,16.6,1,2.4,4,2,1.5
L,-6,5,3,5.2,0,1,23.5,3,19
L,-7,3,1,21.4,0,1.1,24.4,3,6.9
L,-3,4,2,8.7,0,2.1,20.1,2,4.7
L,-6,3,3,7.1,0,1,14.8,2,5.9
L,-18,2,1,15.3,0,2.4,14.9,2,4.7
W,8,6,4,12.3,0,1.5,1.6,2,4
W,20,10,4,16,0,1,23.3,3,4.6
W,2,4,4,12,0,1,22.3,3,4.8
L,-13,12,4,20.4,2,2,8.7,2,0.5
W,16,8,3,13.2,2,2.2,14,2,3
W,10,17,4,15,0,1.6,1.9,2,2.7
L,-4,8,4,1,0,0.9,22.7,3,8.8
L,-3,5,1,20.3,0,1,5,2,1.1
L,-4,5,2,17.8,0,0.9,22.2,3,4.7
L,-13,11,4,0,0,1.7,27.7,3,6.3
W,8,4,2,12,2,3.5,21,2,4.6
L,-7,1,2,2.6,3,3.2,13.1,2,4.6
W,4,7,4,12.5,0,1,2.4,2,1.9
W,19,14,4,2.4,2,3.3,17.2,2,5.1
W,16,9,3,6.1,0,0.5,0.6,2,2.2
W,8,3,2,10,1,2.3,6.7,2,3.6
L,-6,9,5,13.7,0,0.7,2.7,2,3.2
L,-12,1,1,12,1,3.3,9.6,2,2
W,6,7,2,11,0,0.6,9.8,2,3.9
W,3,11,3,17.4,0,0.6,2.8,2,3.4
W,5,4,1,9.5,0,0.7,11.1,2,4.4
W,8,5,3,20.1,0,0.9,23.8,3,5
W,5,2,1,15,2,4.1,9.3,2,3.4
W,6,6,4,14.6,6,7.2,11.2,2,4.8
W,16,2,1,18.5,6,4.4,13.6,2,4.6
L,-6,6,3,18.3,6,5.5,6.4,2,1.7
W,7,8,3,14.4,0,0.8,22.7,3,4.5
L,-11,3,4,0.8,2,5.7,7.7,2,0.4
L,-24,2,1,1.2,2,2.8,25.4,3,2.9
L,-4,1,2,2.7,2,3,24.2,2,4.4
L,-20,4,3,5,0,0.9,25.6,3,6.2
L,-14,6,2,10.5,1,4.9,2.8,2,1.1
W,7,1,1,20.9,1,4.1,0.6,2,1
L,-16,1,1,13.9,1,2.1,4.3,2,1.4
L,-6,4,4,19,0,0,1.9,2,2.2
L,-11,6,2,5.7,0,0.9,3.4,2,1.3
L,-21,3,2,15.9,9,7,13.6,2,2.8
L,-11,10,3,18.4,0,0.9,25.2,3,4.9
W,8,6,4,16.7,0,1,24.9,3,13.6
W,23,5,1,5,1,1.2,3.7,2,2
L,-4,4,1,5.1,0,1,24.6,3,5.3
L,-11,11,3,6.9,4,3.8,7.8,2,3
L,-11,6,4,17.7,6,4.9,19.7,2,6.6
L,-5,7,4,18.5,0,1.1,24.2,3,3.4
W,1,9,4,13.7,0,0.1,3.5,2,7.1
W,5,2,1,20,0,0.3,1.8,2,5.7
L,-6,9,3,24,0,0.5,3.3,2,3.6
L,-14,8,4,24,0,0.1,1.9,2,2.2
W,23,7,4,11,0,1.1,24,3,13.1
W,3,8,2,14.6,10,8.4,9.2,2,4.3
L,-2,13,3,17.3,2,7,4.6,2,0.7
W,11,5,4,21.3,0,1.1,2.2,2,1.7
W,12,5,1,0,1,1.5,1.3,2,4.5
W,15,2,1,21.9,1,3,3.4,2,10.7
L,-9,4,2,19.8,1,1.5,3.7,2,2.2
W,6,5,4,12.5,0,0.8,21.7,3,3.5
W,19,7,4,13.1,1,3.3,4.2,2,0.4
W,2,2,1,14.1,9,7.9,2.4,2,0
W,14,4,1,18.7,2,3.4,4,2,3.2
W,24,2,1,12,9,9.6,5.3,2,4
L,-17,4,2,13.2,0,0,1.3,2,5.2
L,-11,3,1,16,7,8.3,15.2,2,3.8
W,19,1,1,4.9,0,0.2,1.5,2,3.3
W,11,11,3,9.6,0,0.8,3.2,2,2.1
W,22,3,4,5.1,0,0.6,2.4,2,2.1
W,3,4,2,0.3,0,2,25.3,3,4.6
W,6,4,3,19,0,0.8,4.1,2,7.1
W,1,3,2,11.1,0,0.7,18.5,2,4.6
L,-18,4,3,24,0,0.1,1.1,2,0.6
L,-2,17,4,10.6,0,1.1,24.4,3,5.3
W,14,5,1,12.1,0,1,24.3,3,5.1
W,7,18,4,5.3,0,1,24.2,3,5.8
L,-11,13,3,9.7,1,5.6,9.8,2,4.4
W,5,6,2,16.8,1,1.8,6.9,2,3.6
W,12,14,4,8.7,2,2.8,6.5,2,1.5
L,-20,4,1,15,1,1.7,5.9,2,3.2
L,-24,1,1,1.5,0,0.9,24.7,3,5.3
L,-1,10,4,10.3,3,2.4,25.3,3,5.4
L,-16,1,1,3.7,2,5.3,1.9,2,3.3
W,12,6,3,10,3,4.2,3.4,2,0.7
L,-6,3,4,21.1,0,1.3,3,2,1.8
W,5,2,4,6.5,3,2.6,1.4,2,1.6
L,-4,7,2,9.4,0,0.9,3.5,2,2.7
L,-20,6,4,16.4,1,1.6,2.6,2,3.6
L,-12,10,4,24,1,0.4,1.1,2,1.2
W,5,13,4,0.7,5,4.5,20.6,2,1.3
L,-25,13,4,17.1,6,5.1,18.4,2,5.1
W,19,8,3,7.9,18,16.2,14.6,2,6.3
W,15,9,4,21.2,3,3.1,4.8,2,0.5
L,-12,10,2,5.4,0,1.1,21,2,4.4
L,-23,14,3,16.6,1,2,7.5,2,3.5
L,-11,9,3,1.7,2,6.4,5.3,2,3
L,-3,13,3,14.2,0,0.9,19.5,2,7.5
L,-3,24,4,0,0,3.5,1.4,2,1
W,3,5,1,10.9,1,4.9,4.8,2,2.7
L,-9,6,2,10.9,5,5.5,8.2,2,5.3
L,-1,14,4,14.2,5,6.9,8.7,2,1.5
W,9,17,4,1.5,2,1.5,11,2,3.5
W,1,7,2,11.4,2,3.5,15.7,2,0.9
L,-8,7,2,17.4,7,6.9,5.3,2,1
L,-1,5,1,20.8,0,0.8,6.1,2,3.9
L,-9,9,4,12,12,12.6,6.2,2,0.1
L,-9,12,4,12.7,13,10.4,2.6,2,2.3
L,-7,10,3,17.4,9,7.3,6.9,2,3.6
W,25,16,3,20.3,0,0.8,3.6,2,1.7
W,27,4,4,3.7,0,0.8,23.7,3,7.1
L,-7,4,2,7.7,2,2,10.8,2,0.7
W,5,3,1,8.4,2,7,5.8,2,2.6
W,8,5,1,16.3,10,7.9,3.3,2,3.5
W,9,7,1,15.8,11,8.9,7.3,2,1.4
W,7,3,1,20.5,0,0.7,3.1,2,3.4
W,13,1,3,15.2,2,2.9,9.2,2,3.3
W,15,5,3,24,0,0,6.9,2,2.7
L,-3,6,3,24,0,0.3,1.8,2,3.2
L,-3,19,4,22.3,0,0.9,12.5,2,1.9
L,-3,1,1,12.6,3,4.9,11.6,2,2.7
L,-3,9,3,22.1,3,3.4,4.7,2,10.3
W,7,4,3,18.6,0,1,1,2,2.3
W,22,3,1,15.9,0,0.8,21.5,2,4.3
L,-5,20,4,9.4,7,4.5,13.7,2,2.3
W,18,6,2,12.8,13,11.1,13.4,2,3.5
W,27,7,3,17,10,7.3,17.6,2,4.8
W,13,8,3,17,0,1.4,22,3,4.9
L,-5,4,1,24,0,0.3,4.9,2,4.1
W,2,5,3,24,1,0.8,3.7,2,7
L,-6,4,2,4.3,0,0.8,24.7,3,4.6
L,-5,7,2,12.3,0,1,4.1,2,1.6
W,25,7,2,15.2,0,0.8,6.1,2,1.8
W,26,9,3,19.3,0,0.9,3.7,2,7
L,-9,10,2,18,0,1,2,2,3.5
W,18,4,2,6.7,0,1.4,6.6,2,3
W,9,5,2,8.9,0,1.2,17.7,2,5.5
L,-14,10,3,14.8,11,10.1,10.1,2,1.7
L,-16,2,1,9.7,5,5.2,2.4,2,3.4
W,9,18,4,14.3,9,9.6,3.8,2,0
W,18,13,4,11.7,0,0.9,1.7,2,3.5
W,25,13,4,11.9,0,1.2,24.4,3,10.9
W,9,2,1,7.4,0,0.8,23.6,3,9.7
L,-10,19,4,4.6,6,7.6,4.1,2,3.6
L,-7,5,4,7,3,4.2,3.6,2,1
L,-12,2,1,5.8,8,8,3.7,2,0.9
W,5,13,4,3.9,0,1.1,22.3,3,3.9
W,7,6,3,24,0,0,1.8,2,1.5
W,16,5,3,13.1,0,1.1,21.4,2,5.8
W,1,2,4,13.5,12,11,24,3,5.5
W,16,3,1,22,0,1.1,23.5,3,17.9
W,11,4,3,11.6,0,0.9,25.1,3,6.1
W,19,2,1,12.2,2,1.8,2.5,2,0.5
W,8,2,2,16.3,0,0.8,24.5,3,5.9
W,2,4,4,23.3,0,1,24.1,3,12.1
L,-10,16,4,10.3,5,6,13.6,2,5.1
W,13,16,3,7.9,3,5.6,7.4,2,2.2
W,7,3,1,16,0,0,15.6,2,2.7
L,-7,10,4,15,1,1.5,18.7,2,3.5
L,-19,5,3,8.2,0,3.6,16.9,2,4.7
W,8,1,1,11.1,0,2.9,17.7,2,6.3
L,-8,2,1,10.6,2,2.2,11,2,4.1
L,-8,9,2,14.3,11,8.4,18.8,2,2.2
L,-13,5,2,15.6,3,2.7,14.7,2,2.5
L,-29,10,2,15.3,8,7.8,23.7,3,1.6
L,-2,12,4,19.5,1,1.5,20.7,2,4.2
L,-17,9,4,13.5,0,0.7,4.8,2,2.5
L,-10,8,4,5.7,2,3.8,9,2,2
L,-3,5,3,22.1,0,0.9,4,2,6.5
W,1,9,3,18,0,0.3,5,2,2.6
L,-10,1,1,2.4,2,3.8,0.8,2,1.7
W,7,14,4,4.3,1,2.1,7.3,2,3.1
W,3,1,2,12,0,1,26.1,3,3.6
L,-16,9,3,9,0,0.6,25.2,3,2.8
L,-8,1,1,18.2,0,1,25.6,3,5.4
L,-5,2,2,8,2,3.1,1,2,0.6
W,22,3,3,4.5,3,3.7,13.1,2,2.1
L,-4,3,4,7.1,0,1,0.9,2,3.1
W,11,3,4,8.1,1,2.1,21.8,3,3.4
W,12,9,2,15.2,5,5.5,19,2,4.2
L,-5,6,2,6,3,2.8,24.3,3,3.5
L,-7,3,1,15.5,1,4,17.7,2,4.7
L,-7,8,3,3,2,7.6,6.2,2,2.7
L,-5,9,3,7.3,0,0.9,22.2,3,3.9
L,-18,2,1,6.2,6,6.9,18.9,2,4.3
