"shot_id","GAME_ID","MATCHUP","LOCATION","W","FINAL_MARGIN","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_DIST(ft)","PTS_TYPE","CLOSEST_DEFENDER","CLOSEST_DEFENDER_PLAYER_ID","CLOSE_DEF_DIST(ft)","FGM","PTS","player_name","player_id"
"16742","21400087","NOV 08, 2014 - GSW @ HOU","A","W","11","1","2","10:50","19.7","0","0","3.3","2","Motiejunas, Donatas","202700","2.2","0","0","shaun livingston","2733"
"17106","21400636","JAN 21, 2015 - GSW vs. HOU","H","W","13","1","1","1:49","0.9","1","2.3","19","2","Harden, James","201935","2.7","0","0","andre iguodala","2738"
"17615","21400431","DEC 25, 2014 - GSW @ LAC","A","L","-14","9","4","5:18","23.4","0","0.1","3.8","2","Jordan, DeAndre","201599","1.6","0","0","draymond green","203110"
"17644","21400365","DEC 16, 2014 - GSW @ MEM","A","L","-7","3","2","0:18","8","0","1.2","2.3","2","Allen, Tony","2754","1.8","0","0","draymond green","203110"
"17752","21400224","NOV 28, 2014 - GSW @ CHA","A","W","5","5","2","4:00","11.3","0","2.3","16.8","2","Zeller, Cody","203469","4.3","0","0","draymond green","203110"
"17985","21400767","FEB 08, 2015 - ATL @ MEM","A","L","-6","10","4","8:32","4","4","6.6","12","2","Koufos, Kosta","201585","2.9","0","0","al horford","201143"
"18375","21400319","DEC 10, 2014 - ATL vs. PHI","H","W","16","8","3","6:39","13.9","0","1","4.1","2","Noel, Nerlens","203457","0.9","0","0","al horford","201143"
"18801","21400032","NOV 01, 2014 - ATL vs. IND","H","W","10","3","1","0:43","0","3","4.2","3.2","2","Hibbert, Roy","201579","1.5","0","0","thabo sefolosha","200757"
"18864","21400822","FEB 22, 2015 - ATL @ MIL","A","W","11","7","4","10:56","16.9","10","7.4","17.6","2","Ennis, Tyler","203898","4.1","0","0","dennis schroder","203471"
"18895","21400767","FEB 08, 2015 - ATL @ MEM","A","L","-6","8","3","1:31","9.2","16","14.4","3.3","2","Allen, Tony","2754","4.2","0","0","dennis schroder","203471"
"19059","21400434","DEC 26, 2014 - ATL vs. MIL","H","L","-30","6","4","5:19","9.1","2","3.2","19.5","2","O'Bryant, Johnny","203948","4.3","0","0","dennis schroder","203471"
"19508","21400602","JAN 17, 2015 - ATL @ CHI","A","W","8","1","1","11:21","17","0","1.3","24.5","3","Gibson, Taj","201959","7.6","0","0","paul millsap","200794"
"19919","21400110","NOV 12, 2014 - ATL vs. UTA","H","W","3","5","1","4:11","17.1","2","2.3","5.3","2","Favors, Derrick","202324","3.2","0","0","paul millsap","200794"
"19978","21400064","NOV 05, 2014 - ATL @ SAS","A","L","-2","5","1","3:30","12.2","0","1.2","24.7","3","Joseph, Cory","202709","4.8","0","0","paul millsap","200794"
"20259","21400449","DEC 27, 2014 - ATL @ MIL","A","W","5","8","4","7:10","18.9","0","0.8","23.8","3","Dudley, Jared","201162","8.9","0","0","kyle korver","2594"
"20786","21400722","FEB 02, 2015 - ATL @ NOP","A","L","-15","7","3","0:46","7","0","0.9","25.7","3","Pondexter, Quincy","202347","10.6","0","0","kent bazemore","203145"
"21248","21400100","NOV 10, 2014 - ATL @ NYK","A","W","6","6","4","10:23","17.4","0","0.7","25.3","3","Smith, Jason","201160","3.7","0","0","mike scott","203118"
"21319","21400843","FEB 25, 2015 - ATL vs. DAL","H","W","17","9","4","6:07","15","0","3","4.9","2","James, Bernard","203108","1.6","0","0","jeff teague","201952"
"21453","21400683","JAN 28, 2015 - ATL vs. BKN","H","W","11","11","3","4:13","17.2","8","7.1","8.3","2","Jack, Jarrett","101127","3.5","0","0","jeff teague","201952"
"21605","21400501","JAN 03, 2015 - ATL @ POR","A","W","8","4","1","2:21","2.7","5","3.8","22.5","3","Kaman, Chris","2549","6.2","0","0","jeff teague","201952"
"21951","21400032","NOV 01, 2014 - ATL vs. IND","H","W","10","7","2","2:41","0","9","8.4","4.3","2","Allen, Lavoy","202730","1.6","0","0","jeff teague","201952"
"22064","21400732","FEB 04, 2015 - ATL vs. WAS","H","W","9","10","4","4:01","9","0","0.8","24.9","3","Wall, John","202322","5.3","0","0","demarre carroll","201960"
"23170","21400406","DEC 21, 2014 - WAS vs. PHX","H","L","-12","4","4","10:52","17.8","0","0.9","22.1","3","Randolph, Shavlik","101183","5.2","0","0","otto porter","203490"
"23412","21400569","JAN 13, 2015 - WAS vs. SAS","H","W","8","5","2","4:23","24","0","0.3","0.7","2","Duncan, Tim","1495","4.9","0","0","kris humphries","2743"
"23525","21400329","DEC 12, 2014 - WAS vs. LAC","H","W","8","1","1","10:06","23.5","0","1.2","6.3","2","Jordan, DeAndre","201599","5.3","0","0","kris humphries","2743"
"23670","21400077","NOV 07, 2014 - WAS @ TOR","A","L","-19","5","3","0:04","0","0","0.8","22.9","3","Patterson, Patrick","202335","9.6","0","0","kris humphries","2743"
"24080","21400363","DEC 16, 2014 - WAS vs. MIN","H","W","14","9","3","6:30","14.6","1","2.7","18.3","2","Wiggins, Andrew","203952","5.9","0","0","bradley beal","203078"
"24221","21400205","NOV 25, 2014 - WAS vs. ATL","H","L","-4","9","4","10:18","9.3","2","3.5","5.5","2","Mack, Shelvin","202714","0.1","0","0","bradley beal","203078"
"25322","21400205","NOV 25, 2014 - WAS vs. ATL","H","L","-4","3","1","6:27","20.2","0","0.9","23.2","3","Carroll, DeMarre","201960","5.5","0","0","paul pierce","1718"
"25358","21400179","NOV 21, 2014 - WAS vs. CLE","H","W","13","7","4","6:48","1","5","6.1","16.1","2","James, LeBron","2544","3.2","0","0","paul pierce","1718"
"25567","21400656","JAN 24, 2015 - WAS @ POR","A","L","-7","2","1","1:00","19","0","0.8","24.2","3","Blake, Steve","2581","5.2","0","0","rasual butler","2446"
"26501","21400759","FEB 07, 2015 - WAS vs. BKN","H","W","37","10","3","5:00","22","0","1","25.7","3","Jack, Jarrett","101127","6.3","0","0","john wall","202322"
"26628","21400633","JAN 21, 2015 - WAS vs. OKC","H","L","-2","7","3","10:16","9.5","3","2.2","14.6","2","Adams, Steven","203500","8","0","0","john wall","202322"
"26681","21400579","JAN 14, 2015 - WAS @ CHI","A","W","6","9","3","7:18","0","3","3.5","3.3","2","Rose, Derrick","201565","3.1","0","0","john wall","202322"
"26979","21400264","DEC 03, 2014 - WAS vs. LAL","H","W","16","16","4","2:20","7.5","16","15.1","15","2","Price, Ronnie","101179","5","0","0","john wall","202322"
"27455","21400258","DEC 02, 2014 - NOP vs. OKC","H","W","8","1","1","11:31","23","0","1.2","1.7","2","Roberson, Andre","203460","1.9","0","0","omer asik","201600"
"27520","21400001","OCT 28, 2014 - NOP vs. ORL","H","W","17","9","3","10:59","8.4","7","6.5","3.6","2","Vucevic, Nikola","202696","2.2","0","0","omer asik","201600"
"27560","21400515","JAN 05, 2015 - NOP vs. WAS","H","L","-7","8","2","3:06","3.4","0","0.8","24.2","3","Gortat, Marcin","101162","6.2","0","0","jrue holiday","201950"
"27573","21400488","JAN 02, 2015 - NOP vs. HOU","H","W","28","5","2","5:36","3.9","8","7.7","24","2","Ariza, Trevor","2772","5.2","0","0","jrue holiday","201950"
"28047","21400758","FEB 07, 2015 - NOP vs. CHI","H","L","-35","4","2","8:52","3.6","1","3.3","7.7","2","Butler, Jimmy","202710","1.7","0","0","ryan anderson","201583"
"28096","21400701","JAN 30, 2015 - NOP vs. LAC","H","W","5","6","1","1:55","12","0","0.9","25.7","3","Griffin, Blake","201933","7.5","0","0","ryan anderson","201583"
"28237","21400515","JAN 05, 2015 - NOP vs. WAS","H","L","-7","5","2","6:13","12.2","1","2.1","6.2","2","Butler, Rasual","2446","1.7","0","0","ryan anderson","201583"
"28656","21400027","NOV 01, 2014 - NOP vs. DAL","H","L","-5","9","2","0:29","17.8","1","2.5","12.9","2","Ellis, Monta","101145","4.7","0","0","ryan anderson","201583"
"28684","21400903","MAR 04, 2015 - NOP vs. DET","H","W","3","4","1","1:40","18.6","0","1.4","25.3","3","Caldwell-Pope, Kentavious","203484","5","0","0","tyreke evans","201936"
